SMILES,ID,Database
CC(C)CC(=O)c1c(c(c2c(c1O)c(cc(=O)o2)c3ccccc3)CC=C(C)C)O,AN_UY_015_1,AfroDb
CCCc1cc(=O)oc2c1c(c(c(c2C(=O)CC(C)C)O)CC=C(C)C)O,AN_UY_016,AfroDb
C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)Oc2c(=O)c3c(cc(cc3oc2c4ccc(c(c4)OC)O)O)O)O)O)O,AN_UY_016B,AfroDb
C[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@H]2O)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)OC)O)O)O)CO)O)O)O)O,AN_UY_017_1,AfroDb
c1cc(ccc1c2cc(=O)c3c(o2)cc(c(c3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,AN_UY_018,AfroDb
CCCCCCCCCCCCCCCCCC/C=C/[C@@](C)([C@H](CO)NC(=O)[C@H](/C=C/CCCCCCCCCCCCCCCCC)O)O,AN_UY_020,AfroDb
CC(=C)/C=C/c1cc2c(=O)c3c(cccc3oc2c(c1O)OC)O,AN_UY_021,AfroDb
C[C@]1(C=Cc2c(cc(c3c2c(=O)c4c(cccc4o3)O)O)O1)CCC=C,AN_UY_022_1,AfroDb
CC1(C=Cc2c(cc(c3c2oc4ccc(c(c4c3=O)O)O)O)O1)C,AN_UY_023,AfroDb
CC(=CCc1cc2c(=O)c3c(cccc3oc2c(c1O)OC)O)C,AN_UY_024,AfroDb
CC(=CCc1ccc(c2c1oc3cc4c(cc3c2=O)OC(C=C4)(C)C)c5c6c(c(c(c5OC)O)O)c(=O)c7c(cccc7o6)O)C,AN_UY_025,AfroDb
CC(=CCc1c(cc2c(c1O)c(=O)c3cc(ccc3o2)OC)O)C,AN_UY_026,AfroDb
CC(=CCc1c(cc(c2c1oc3ccc(cc3c2=O)OC)O)O)C,AN_UY_027,AfroDb
CC(C)(C=C)c1c(cc(c2c1oc3ccc(cc3c2=O)OC)O)O,AN_UY_028_1,AfroDb
CC(C)(C=C)c1c(cc2c(c1O)c(=O)c3cc(ccc3o2)OC)O,AN_UY_029_1,AfroDb
COc1ccc2c(c1)c(=O)c3c(o2)cc(c(c3O)CC=C)O,AN_UY_030,AfroDb
CC1(C=Cc2c(cc3c(c2O)c(=O)c(co3)c4ccc(cc4)O)O1)C,AN_UY_032,AfroDb
CC1(C=Cc2c(cc3c(c2OC)c(=O)c(co3)c4ccc(cc4)OC)O1)C,AN_UY_033,AfroDb
CC(=CCc1c2c(c(c3c1O[C@H](C3)C(C)(C)O)O)c(=O)c(co2)c4ccc(cc4)O)C,AN_UY_034,AfroDb
Cc1ccc(cc1)c2coc3c(c(c(c(c3c2=O)O)CC=C(C)C)O)C[C@H](C(=C)C)O,AN_UY_035,AfroDb
CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(c(c1)OC)O,AN_UY_036,AfroDb
c1cc2c(=O)c3c(cccc3oc2c(c1)O)O,AN_UY_039,AfroDb
COc1cc(c2c(c1)oc3c(c2=O)cc(c(c3O)O)OC)O,AN_UY_040,AfroDb
COc1cc(ccc1O)[C@@H]2c3cc(c(cc3C[C@@H]([C@H]2CO)CO)OC)OC,AN_UY_041_1,AfroDb
C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)OC(=O)/C=C/c6ccc(c(c6)OC)O)C)C)[C@H]1CC(CC2)(C)C)C,AN_UY_042_1,AfroDb
CC(=CCC/C(=C\Cc1c(cc2c(c1O)c(=O)c3c(o2)cc(c4c3C=CC(O4)(C)C)O)O)/C)C,AN_UY_045_1,AfroDb
CC(=CCc1c(cc2c(c1O)c(=O)c3c4c(c(c(c3o2)CC=C(C)C)O)OC(C=C4)(C)C)O)C,AN_UY_046,AfroDb
CC/C(=C/Cc1c2c(cc(c1OC)OC)oc3cc4c(cco4)c(c3c2=O)O)/C,AN_UY_048,AfroDb
CC(=CCc1c(c(cc2c1oc3cc4c(c(c3c2=O)O)C=CC(O4)(C)C)O)O)C,AN_UY_049,AfroDb
C[C@@H]1C(c2c(cc(c3c2oc4c(c3=O)c(cc(c4OC)O)CC=C(C)C)O)O1)(C)C,AN_UY_050,AfroDb
COc1c(cc2c3c1oc(=O)c4c3c(c(c(c4)O[C@H]5[C@@H]([C@H]([C@@H](CO5)O)O)O)OC)oc2=O)C(=O)c6cc(c(c(c6)O)O)O,BMC_00046,AfroDb
Cc1c(ccc2c1C(=O)c3ccccc3C2=O)CCC(=O)C,BMC_0001,AfroDb
