"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL3126652",,0,441.5,0,3.79,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4cc(C)nc(N)n4)cc3)cc2)nc(N)n1,IC50,'=',2230,nM,5.65
"""CHEMBL563888",,0,410.46,1,-1.03,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@@H](C(=O)O)C2)[C@@H](O)[C@H]1O,IC50,'>',100000,nM,
"""CHEMBL559283",,0,611.12,2,2.97,O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)[C@H](O)[C@@H]2O)CN1,IC50,'=',2500,nM,5.6
"""CHEMBL4164446",,0,489.62,0,4.75,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C#N)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1600,nM,5.8
"""CHEMBL4159604",,0,480.7,1,5.66,COc1cc2c(NC3CCN(C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',497,nM,6.3
"""CHEMBL4167925",,0,482.67,0,4.51,COc1cc2c(NC3CCN(C)CC3)cc(C3CCOCC3)nc2cc1OCCCN1CCCC1,IC50,'=',4420,nM,5.36
"""CHEMBL382617",,0,292.35,0,2.17,Cc1ccn2c(CCc3nnc4cc(C)ccn34)nnc2c1,IC50,'=',100000,nM,4
"""CHEMBL3109076",,0,398.46,0,4.48,O=C(O)[C@H]1[C@@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,IC50,'=',50000,nM,4.3
"""CHEMBL564768",,0,418.86,1,-0.78,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',2900,nM,5.54
"""CHEMBL550440",,0,410.46,1,-1.03,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,IC50,'=',8000,nM,5.1
"""CHEMBL560106",,0,430.87,1,-0.77,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,IC50,'=',820,nM,6.09
"""CHEMBL563570",,0,369.4,0,-1.02,N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',300000,nM,
"""CHEMBL538692",,0,402.41,1,-1.3,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',2500,nM,5.6
