ID,SMILES_no_chiral,SMILES_chiral,NPL_score
FQNP172,C=CCc1cc(OC)c2c(c1)OCO2,C=CCc1cc(OC)c2c(c1)OCO2,1.028
FQNP218,COc1cc(O)cc2c1C(=O)C(O)C(c1ccccc1)O2,COc1cc(O)cc2c1C(=O)C(O)C(c1ccccc1)O2,2.002
FQNP321,COc1cc(O)cc2c1C(=O)OC(C)CCCCCCC2,COc1cc(O)cc2c1C(=O)O[C@H](C)CCCCCCC2,1.356
FQNP42,COc1cccc2c1C(=O)OC(C)C2,COc1cccc2c1C(=O)O[C@@H](C)C2,1.009
FQNP29,COC1=CC(=O)c2c(O)cc(OC)c3c2C1(O)COC3=O,COC1=CC(=O)c2c(O)cc(OC)c3c2[C@]1(O)COC3=O,2.533
FQNP30,COc1cc(=O)c2c(=O)cc(OC)c3c(O)occ1c32,COc1cc(=O)c2c(=O)cc(OC)c3c(O)occ1c32,0.735
FQNP187,C=c1cc(OC)c2c(=O)occ3c(OC)cc(O)c1c32,C=c1cc(OC)c2c(=O)occ3c(OC)cc(O)c1c32,1.134
FQNP219,COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2,COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2,1.595
FQNP307,COc1cc(O)cc2c1C(=O)CC(c1ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c1)O2,COc1cc(O)cc2c1C(=O)CC(c1ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c1)O2,1.642
FQNP543,COc1c2c(cc3oc(C)cc(=O)c13)OC(C(C)(C)O)C2,COc1c2c(cc3oc(C)cc(=O)c13)O[C@H](C(C)(C)O)C2,2.618
